Used,Instrument,Description,User,Fixed,Handling,Down,Trawling,Up
0,ADCP,Acoustic Doppler Current Profiler,nn,0,0,0,0,0
0,AEROS,Aerosol Sampler,nn,0,0,0,0,0
0,AIRGN,Airgun - Seismic Source,nn,0,0,0,0,0
0,AIRS,Air sampler,nn,0,0,0,0,0
0,ALTI,Altimeter,nn,0,0,0,0,0
0,ATURBP,Air Turbulence Profiler,nn,0,0,0,0,0
0,AUV,Autonomous underwater vehicle,nn,0,0,0,0,0
0,BC,Box Corer,nn,0,0,0,0,0
0,BN,Bottom Net,nn,0,0,0,0,0
0,BOAT,Boat,nn,0,0,0,0,0
0,BOO,Boomer - Seismic Source,nn,0,0,0,0,0
0,BS,Benthos Sampler,nn,0,0,0,0,0
0,BT,Bathythermograph,nn,0,0,0,0,0
0,BUOY,Buoy,nn,0,0,0,0,0
0,CALIB,Calibration,nn,0,0,0,0,0
0,CCN,Cloud Condensation Nuclei,nn,0,0,0,0,0
0,CHAM,Benthic chamber,nn,0,0,0,0,0
0,CM,Current Meter,nn,0,0,0,0,0
0,CO2S,CO2 Sensor,nn,0,0,0,0,0
0,CORER,Corer,nn,0,0,0,0,0
0,CPT,Cone penetration testing-lance,nn,0,0,0,0,0
0,CRS,Cloud Radar System,nn,0,0,0,0,0
0,CSEM,Controlled Source Electromagnetics,nn,0,0,0,0,0
1,CTD,CTD,Sandra,0,15,0.8,0,0.8
0,DOAS,Differential Optical Absorption Spectrometers,nn,0,0,0,0,0
0,DRG,Dredge,nn,0,0,0,0,0
0,DRIFT,Drifter,nn,0,0,0,0,0
0,DRILL,Drill,nn,0,0,0,0,0
0,DTSEIS,Deep-Tow Streamer - Seismic Receiver,nn,0,0,0,0,0
0,ECHO,Echo Sounder,nn,0,0,0,0,0
1,FLOAT,Float,Olaf,0,10,0,0,0
0,FLU,Fluorometer,nn,0,0,0,0,0
0,FN,Fish Net,nn,0,0,0,0,0
0,GC,Gravity Corer,nn,0,0,0,0,0
0,GDS,Geodesy Station,nn,0,0,0,0,0
0,GIGN,Gi-Gun - Seismic Source,nn,0,0,0,0,0
0,GLD,Glider,nn,0,0,0,0,0
0,GPS,Global Positioning System,nn,0,0,0,0,0
0,GRAB,Grab,nn,0,0,0,0,0
0,GRAV,Gravimeter,nn,0,0,0,0,0
0,HELI,Helicopter,nn,0,0,0,0,0
0,HF,Heat Flow Probe,nn,0,0,0,0,0
0,HYDRO,Hydrophon,nn,0,0,0,0,0
0,ICE,Ice Station,nn,0,0,0,0,0
0,LANDER,Lander,nn,0,0,0,0,0
0,LIDAR,Light Detection And Ranging,nn,0,0,0,0,0
0,LIFT,Deep-sea elevator,nn,0,0,0,0,0
