Port; Latitude; Longitude
Aalborg(da); 57.05; 9.9333
Aarhus(da); 56.15; 10.2167
Aberdeen(uk); 57.15; -2.0833
Accra(gh); 5.5333; -0.2
Admiralty bay(ay); -62.0833; -58.4167
Antofagasta(ci); -23.65; -70.4167
Apia(ws); -13.65; -171.7667
Auckland(nz); -36.85; 174.7667
Bahia Blanca(ar); -38.7833; -62.2667
Barentsburg(sv); 78.0667; 14.2333
Bergen(no); 60.4; 5.3167
Borgholm(sw); 56.8833; 16.65
Bremen(gm); 53.1167; 8.7167
Bremerhaven(gm); 53.55; 8.5833
Brest(fr); 48.3833; -4.5
Bridgetown(bb); 13.0833; -59.6167
Brindisi(it);40.633;17.933
Broome(as); -17.9667; 122.2333
Brunsbuttel(gm); 53.9; 9.1
Cadiz(sp); 36.5333; -6.3
Caldera(cs);  9.9333; -84.7167
Cape Town(sf); -33.9; 18.4333
Cartagena(sp); 37.5833; -0.98333
Christchurch(nz);-43.5999;172.770098
Cork(er);51.85;-8.2667
Cuxhaven(gm); 53.8667; 8.7167
Dakar(sg); 14.6833; -17.4333
Dar es Salaam(tz); -6.8167; 39.3
Darwin(as); -12.4667; 130.85
Deutschland(gm); 53.55; 9.9667
Dubrovnik(kr);42.642;18.108
Durban(sf); -29.8667; 31.0667
Eckernforde(gm); 54.4833; 9.8333
Emden(gm); 53.3667;  7.2167
Esbjerg(da); 55.4667; 8.45
Flensburg(gm); 54.8; 9.4333
Freeport(bh);26.883;-78.117
Frederikshavn(da); 57.4333; 10.55
Fort de France(mb); 14.6; -61.0833
Fortaleza(br); -3.7; -38.4833
Funchal(po); 32.6333; -16.9167
Gdansk(pl);54.35;18.6667
Genova(it); 44.4167; 8.9667
Gluckstadt(gm); 53.7833; 9.4167
Goteborg(sw); 57.7; 11.9667
Guam(gq);13.4251;144.8178
Guayaquil(ec); -2.2000; -79.8833
Hamburg(gm); 53.55; 9.9667
Hai Phong(vm);20.8667;106.6833
Harwich(uk); 51.95; 1.2833
Heiligenhafen(gm); 54.3667; 10.9833
Helgoland(gm); 54.1735; 7.8933
Hobart(as); -42.8833; 147.3333
Honiara(bp); -9.4167; 159.95
Hongkong(ch);22.2667;114.2
Iraklion(gr); 35.35; 25.15
Istanbul(tu);41.0167;28.9667
Jakarta(id);-6.0909;106.7987
Jubany(ay);-62.2516;-58.7431
Kappeln(gm); 54.6667; 9.9333
Kiel(gm); 54.3333; 10.1333
Kobenhavn(da); 55.7; 12.6167
Kushiro(ja); 42.9833; 144.3667
La Coruna(sp); 43.3667; -8.4000
Las Palmas(sp); 28.15; -15.4167
Libreville(gb);0.4;9.45
Limassol(cy); 34.6667; 33.05
Lisboa(po); 38.7; -9.1667
London(uk); 51.5; -0.083333
Longyearbyen(sv); 78.2333; 15.65
Madang(pp); -5.2167; 145.8167
Makassar(id);-5.1633; 119.4085
Male(mv); 4.1667; 73.5
Manila(rp); 14.5833; 120.9667
Manzanillo(mx); 19.0500; -104.3333
Marseille(fr); 43.3167; 5.3667
Masqat(mu);23.6317;58.5778
Mcmurdo Sound(ay); -77.85; 166.65
Messina(it); 38.2; 15.5667
